marker,verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_label,exact_match_to_later_edition
*,15:20,15,"When we send astronauts into space, we provide them with precisely measured quantities of food, water, and oxygen. God created the spaceship Earth with billions ol astronauts who work and reproduce, and supplied them with a self-supporting system that generates oxygen, fresh water, and a great variety of delicious foods and drinks.","When we send astronauts into space, we provide them with precisely measured
quantities of food, water, and oxygen. God created the spaceship Earh with billions ol
astronauts who work and reproduce, and supplied them with a self-supporting system
that generates oxygen, fresh water, and a great variety of delicious foods and drinks.",282,263,"[38.75, 613.398, 478.581, 660.001]","[0.074821, 0.858259, 0.92408, 0.923466]","When we send astronauts into space, we provide them with precisely measured quantities of food, water, and oxygen. God created the spaceship Earth with billions of astronauts who work and reproduce; He supplied them with a self-supporting system that generates oxygen, fresh water, and a great variety of delicious foods and drinks.",False
*,15:85-88,15,"One of the functions of God’s Messenger of the Covenant was to deliver the Quranic assertion that the world will end in AD 2280 (20:15, 72:27 & Appendix 25).","One of the functions of God’s Messenger of the Covenant was to deliver the
Quranic assertion that the world will end in AD 2280 (20:15, 72:27 & Appendix 25).",285,266,"[40.45, 639.548, 476.112, 660.95]","[0.078104, 0.894848, 0.919313, 0.924794]","One of the functions of God's Messenger of the Covenant is to deliver the Quranic assertion that the world will end in AD 2280 (20:15, 72:27 & Appendix 25).",False
*,15:99,15,The practices of worship are our means of attaining certainty (Appendix 15).,The practices of worship are our means of attaining certainty (Appendix 15).,286,267,"[39.25, 640.298, 477.646, 651.074]","[0.075787, 0.895898, 0.922275, 0.910975]",The practices of worship are our means of attaining certainty (Appendix 15).,True
*,16:1,16,Everything is already recorded (57:22). See also Appendix 14.,Everything is already recorded (57:22). See also Appendix 14.,286,267,"[39.25, 651.074, 477.646, 661.85]","[0.075787, 0.910975, 0.922275, 0.926053]",Everything is already recorded (57:22). See also Appendix 14.,True
*,16:49,16,"The human body, whether it belongs to a believer or a disbeliever, submits to God; the heartbeats, the lungs' movement, and peristalsis illustrate this submission.","The human body, whether it belongs to a believer or a disbeliever, submits to
God; the heartbeats, the lungs' movement, and peristalsis illustrate this submission.",291,272,"[40.45, 634.298, 476.608, 655.75]","[0.078104, 0.887502, 0.92027, 0.917518]","The human body, whether it belongs to a believer or a disbeliever, submits to God; the heartbeats, the lungs' movement, and peristalsis illustrate this submission.",True
*,16:69,16,"Besides its recognized nutritive value, honey has been scientifically proven as a healing medicine of certain allergies and other ailments.","Besides its recognized nutritive value, honey has been scientifically proven as a
healing medicine of certain allergies and other ailments.",293,274,"[41.15, 618.448, 477.23, 643.548]","[0.079455, 0.865325, 0.921471, 0.900445]","Besides its recognized nutritive value, honey has been scientifically proven as a healing medicine for certain allergies and other ailments.",False
*,16:71,16,"If the humans would not give up their power to that extent, why do they expect God to do this, and create partners for Himself?","If the humans would not give up their power to that extent, why do they expect
God to do this, and create partners for Himself?",293,274,"[40.9, 644.598, 477.136, 665.8]","[0.078973, 0.901914, 0.92129, 0.93158]","If the humans would not give up their power to that extent, why do they expect God to do this, and create partners for Himself?",True
*,16:93,16,"God knows the sincere believers among us who deserve to be redeemed. Accordingly, He guides them, while blocking out those who do not qualify for redemption.","God knows the sincere believers among us who deserve to be redeemed. Accord
ingly, He guides them, while blocking out those who do not qualify for redemption.",296,211,"[39.95, 638.948, 480.232, 660.476]","[0.077138, 0.894009, 0.927268, 0.92413]","God knows the sincere believers among us who deserve to be redeemed. Accordingly, He guides them, while blocking out those who choose to disbelieve.",False
*,16:98,16,"Our salvation is attained by knowing God’s message to us, the Quran, and Satan will do his utmost to keep us from being redeemed. Hence this commandment.","Our salvation is attained by knowing God’s message to us, the Quran, and Satan
will do his utmost to keep us from being redeemed. Hence this commandment.",297,278,"[39.95, 641.148, 474.944, 662.726]","[0.077138, 0.897087, 0.917057, 0.927279]","Our salvation is attained by knowing God's message to us, the Quran, and Satan will do his utmost to keep us from being redeemed. Hence this commandment.",False
*,16:106,16,"God’s wisdom decrees that if someone holds a gun to your head and orders you to declare that you disbelieve in God, you may grant him his wish. What the heart harbors is what counts.","God’s wisdom decrees that if someone holds a gun to your head and orders you
to declare that you disbelieve in God, you may grant him his wish. What the heart
harbors is what counts.",298,279,"[40.7, 619.898, 478.032, 659.348]","[0.078587, 0.867354, 0.92302, 0.922552]","God's wisdom decrees that if someone holds a gun to your head and orders you to declare that you disbelieve in God, you may grant him his wish. What the heart harbors is what counts.",False
*,16:115,16,"& 118 The most devastating trichinosis parasite, Trichinella spiralis, (also the pork tapeworm Taenia solium) survives in the meat of pigs, not the fat. More than 150,000 people are infected annually in the United States. See 6:145-146, and App. 16.","& 118 The most devastating trichinosis parasite, Trichinella spiralis, (also the
pork tapeworm Taenia solium) survives in the meat of pigs, not the fat. More than
150,000 people are infected annually in the United States. See 6:145-146, and App. 16.",299,280,"[41.15, 629.348, 477.663, 667.748]","[0.079455, 0.880576, 0.922307, 0.934305]","& 118 The most devastating trichinosis parasite, Trichinella spiralis, (also the pork tapeworm Taenia solium) survives in the meat of pigs, not the fat. More than 150,000 people are infected annually in the United States. See 6:145-146, and Appendix 16.",False
*,16:123,16,"This informs us that all religious practices, which came to us through Abraham, were intact at the time of Muhammad (see 22:78 and Appendix 9)","This informs us that all religious practices, which came to us through
Abraham, were intact at the time of Muhammad (see 22:78 and Appendix 9)",300,281,"[40.2, 637.298, 477.936, 662.748]","[0.077621, 0.8917, 0.922835, 0.927309]","This informs us that all religious practices, which came to us through Abraham, were intact at the time of Muhammad (see 22:78 and Appendix 9).",False
*,17:1,17,"“The Aqsa Mosque” means “the farthest place where there is prostration,” many billions of Light Years away. This verse informs us that Muhammad, the soul, was taken to the Seventh Heaven to be given the Quran (2:185, 44:3, 53:1-18, & 97:1).","“The Aqsa Mosque” means “the farthest place where there is prostration,” many
billions of Light Years away. This verse informs us that Muhammad, the soul, was
taken to the Seventh Heaven to be given the Quran (2:185, 44:3, 53:1-18, & 97:1).",301,282,"[41.65, 619.648, 476.972, 658.048]","[0.080421, 0.867004, 0.920973, 0.920733]","""The Aqsa Masjid"" means ""the farthest place where there is prostration,"" many billions of Light Years away. This verse informs us that Muhammad, the soul, was taken to the highest Heaven to be given the Quran (2:185, 44:3, 53:1-18, & 97:1).",False
*,17:13,17,"Your life is already recorded, as if on a video tape, from birth to death. This same record will be made accessible to us upon resurrection. See 57:22 & Appendix 14.","Your life is already recorded, as if on a video tape, from birth to death. This
same record will be made accessible to us upon resurrection. See 57:22 & Appendix 14.",302,283,"[40.7, 633.198, 478.106, 658.398]","[0.078587, 0.885963, 0.923163, 0.921223]","Your life is already recorded, as if on a video tape, from birth to death. This same record will be made accessible to us upon resurrection. See 57:22 & Appendix 14.",True
*,17:46,17,"The Arabic word ‘alone’ refers to God in 7:70, 39:45, 40:12 & 84, and 60:4. If you add these numbers, you get 361, 19x19. But if you include 17:46, which refers to the Quran, the product is not a multiple of 19. “Alone” here refers to the Quran (App. 18).","The Arabic word ‘alone’ refers to God in 7:70, 39:45, 40:12 & 84, and 60:4. If you
add these numbers, you get 361, 19x19. But if you include 17:46, which refers to the
Quran, the product is not a multiple of 19. “Alone” here refers to the Quran (App. 18).",305,286,"[39.7, 621.098, 475.276, 659.248]","[0.076656, 0.869033, 0.917698, 0.922412]","The Arabic word ""alone"" refers to God in 7:70, 39:45, 40:12 & 84, and 60:4. If you add these numbers, you get 361, 19x19. But if you include 17:46, which refers to the Quran, the product is not a multiple of 19. ""Alone,"" therefore refers to the Quran in 17:46 (Appendix 18).",False
*,17:60,17,"Muhammad’s journey to the seventh heaven, to receive the Quran, as stated in","Muhammad’s journey to the seventh heaven, to receive the Quran, as stated in",307,288,"[40.7, 618.698, 476.06, 631.223]","[0.078587, 0.865675, 0.919212, 0.8832]","Muhammad's journey to the highest heaven to receive the Quran, as stated in 17:1 and 53:1-18, is a test because the people had to believe Muhammad on faith.",False
,17:1,17,"and 53:1-18, is a test because the people had to believe Muhammad on faith.","and 53:1-18, is a test because the people had to believe Muhammad on faith.",307,288,"[40.7, 631.223, 476.06, 643.748]","[0.078587, 0.8832, 0.919212, 0.900725]","""The Aqsa Masjid"" means ""the farthest place where there is prostration,"" many billions of Light Years away. This verse informs us that Muhammad, the soul, was taken to the highest Heaven to be given the Quran (2:185, 44:3, 53:1-18, & 97:1).",False
*,17:66,17,We now learn from physics and physical chemistry that water possesses unique qualities that render it perfectly suitable for serving our various needs.,"We now learn from physics and physical chemistry that water possesses unique
qualities that render it perfectly suitable for serving our various needs.",307,288,"[40.9, 644.948, 476.532, 669.948]","[0.078973, 0.902404, 0.920124, 0.937384]",We now learn from physics and physical chemistry that water possesses unique qualities that render it perfectly suitable for serving our various needs.,True
*,17:93,17,"God’s Messenger of the Covenant, Rashad Khalifa, was thus challenged, including the challenge to bring a new book. Verse 3:81 defines the duties of God’s Messenger of the Covenant. Overwhelming proof is detailed in Appendices 2 & 26.","God’s Messenger of the Covenant, Rashad Khalifa, was thus challenged, includ
ing the challenge to bring a new book. Verse 3:81 defines the duties of God’s Messenger
of the Covenant. Overwhelming proof is detailed in Appendices 2 & 26.",310,291,"[40.459, 625.898, 479.781, 664.898]","[0.078121, 0.875749, 0.926397, 0.930318]","God's Messenger of the Covenant, Rashad Khalifa, was thus challenged, including the challenge to bring a new book, or bring down masses from the sky. Verse 3:81 defines the duties of God's Messenger of the Covenant. Overwhelming proof is detailed in Appendices 2 & 26.",False
*,18:8-9,18,"As it turns out, the history of these Christian believers, the Seven Sleepers of Ephesus, is directly connected with the end of the world as stated in 18:9 & 21. The role of these believers in unveiling the end of the world is detailed in Appendix 25.","As it turns out, the history of these Christian believers, the Seven Sleepers of
Ephesus, is directly connected with the end of the world as stated in 18:9 & 21. The
role of these believers in unveiling the end of the world is detailed in Appendix 25.",313,294,"[40.45, 625.748, 477.88, 664.148]","[0.078104, 0.875539, 0.922726, 0.929268]","As it turns out, the history of these Christian believers, the Seven Sleepers of Ephesus, is directly connected with the end of the world as stated in 18:9 & 21. The role of these believers in unveiling the end of the world is detailed in Appendix 25.",True
*,18:16-20,18,"Ephesus is located about 200 miles south of ancient Nicene, and 30 miles south of today’s Izmir in Turkey. The dwellers of the cave were young Christians whc wanted to follow the teachings of Jesus, and worship God alone. They were fleeing the persecution of neo-christians who proclaimed a corrupted Christianity three centuries after Jesus, following the Nicene Conferences, when the Trinity doctrine was announced. In 1928, Franz Miltner, an Austrian archeologist discovered the tomb of the seven sleepers of Ephesus. Their history is well documented in several encyclopedias.","Ephesus is located about 200 miles south of ancient Nicene, and 30 miles
south of today’s Izmir in Turkey. The dwellers of the cave were young Christians whc
wanted to follow the teachings of Jesus, and worship God alone. They were fleeing the
persecution of neo-christians who proclaimed a corrupted Christianity three centuries
after Jesus, following the Nicene Conferences, when the Trinity doctrine was an
nounced. In 1928, Franz Miltner, an Austrian archeologist discovered the tomb of the
seven sleepers of Ephesus. Their history is well documented in several encyclopedias.",314,295,"[40.699, 549.448, 480.087, 641.848]","[0.078585, 0.768781, 0.926988, 0.898066]","Ephesus is located about 200 miles south of ancient Nicene, and 30 miles south of today's Izmir in Turkey. The dwellers of the cave were young Christians who wanted to follow the teachings of Jesus, and worship God alone. They were fleeing the persecution of neo-Christians who proclaimed a corrupted Christianity three centuries after Jesus, following the Nicene Conferences, when the Trinity doctrine was announced. In 1928, Franz Miltner, an Austrian archeologist discovered the tomb of the seven sleepers of Ephesus. Their history is well documented in several encyclopedias.",False
*,18:17,18,"This sign, or hint, tells us that the cave was facing north.","This sign, or hint, tells us that the cave was facing north.",314,295,"[40.699, 641.848, 480.087, 655.047]","[0.078585, 0.898066, 0.926988, 0.916534]","This sign, or hint, tells us that the cave was facing north.",True
*,18:21,18,"As detailed in Appendix 25, this story helped pinpoint the end of the world.","As detailed in Appendix 25, this story helped pinpoint the end of the world.",315,296,"[40.9, 605.498, 477.98, 617.178]","[0.078973, 0.847206, 0.922919, 0.863548]","As detailed in Appendix 25, this story helped pinpoint the end of the world.",True
*,18:24,18,This important commandment gives us daily opportunities to remember God.,This important commandment gives us daily opportunities to remember God.,315,296,"[40.9, 617.178, 477.98, 628.857]","[0.078973, 0.863548, 0.922919, 0.879889]",This important commandment gives us daily opportunities to remember God.,True
*,18:25,18,"The difference between 300 solar years and 300 lunar years is nine years. Thus, discovering the end of the world was predetermined by the Almighty to take place in 1980 AD (1400 AH), 300 years (309 lunar years) before the end of the world (72:27).","The difference between 300 solar years and 300 lunar years is nine years. Thus,
discovering the end of the world was predetermined by the Almighty to take place in
1980 AD (1400 AH), 300 years (309 lunar years) before the end of the world (72:27).",315,296,"[40.9, 628.857, 477.98, 663.894]","[0.078973, 0.879889, 0.922919, 0.928913]","The difference between 300 solar years and 300 lunar years is nine years. Thus, discovering the end of the world was predetermined by the Almighty to take place in 1980 AD (1400 AH), 300 years (309 lunar years) before the end of the world (see 72:27 & Appendix 25).",False
*,18:32-42,18,"The Quran cites many examples of the different gods that people worship besides God, such as children (7:190), religious leaders and scholars (9:31), property (18:42), dead saints and prophets (16:20-21, 35:14, & 46:5-6), and the ego (25:43, 45:23).","The Quran cites many examples of the different gods that people worship
besides God, such as children (7:190), religious leaders and scholars (9:31), property
(18:42), dead saints and prophets (16:20-21, 35:14, & 46:5-6), and the ego (25:43, 45:23).",316,297,"[39.7, 621.098, 478.036, 654.611]","[0.076656, 0.869033, 0.923028, 0.915924]","The Quran cites many examples of the different gods that people worship beside God; they include children (7:190), religious leaders and scholars (9:31), property (18:42), dead saints and prophets (16:20-21, 35:14, & 46:5-6), and the ego (25:43, 45:23).",False
*,18:50,18,"When the great feud in the heavenly society took place (38:69), all creatures became classified into angels, jinns, and humans (Appendix 7).","When the great feud in the heavenly society took place (38:69), all creatures
became classified into angels, jinns, and humans (Appendix 7).",318,299,"[41.15, 611.148, 478.034, 636.798]","[0.079455, 0.855111, 0.923024, 0.891]","When the great feud in the heavenly society took place (38:69), all creatures became classified into angels, jinns, and humans (Appendix 7).",True
*,18:51,18,God knew that Satan and his supporters (jinns and humans) were going to make the wrong decision. Hence their exclusion from witnessing the creation process.,"God knew that Satan and his supporters (jinns and humans) were going to
make the wrong decision. Hence their exclusion from witnessing the creation process.",318,299,"[39.95, 637.898, 478.908, 659.225]","[0.077138, 0.89254, 0.924711, 0.92238]",God knew that Satan and his supporters (jinns and humans) were going to make the wrong decision. Hence their exclusion from witnessing the creation process.,True
*,18:80,18,"Adolf Hitler was a cute and seemingly innocent child. Had he died as a child, many would have grieved, and many would have even questioned God’s wisdom. We learn from these profound lessons that there is a good reason behind everything.","Adolf Hitler was a cute and seemingly innocent child. Had he died as a child,
many would have grieved, and many would have even questioned God’s wisdom. We
learn from these profound lessons that there is a good reason behind everything.",321,302,"[41.65, 626.348, 477.956, 660.161]","[0.080421, 0.876379, 0.922873, 0.92369]","Adolf Hitler was a cute and seemingly innocent child. Had he died as a child, many would have grieved, and many would have even questioned God's wisdom. We learn from these profound lessons that there is a good reason behind everything.",False
*,18:94-98,18,"One of my duties as God’s Messenger of the Covenant is to state that Gog and Magog; the final sign before the end of the world, will reappear in 2270 AD (170C AH), just 10 years before the end. Note that Gog and Magog occur in Suras 18 and 21, precisely 17 verses before the end of each sura, representing 17 lunar centuries (72:27).","One of my duties as God’s Messenger of the Covenant is to state that Gog
and Magog; the final sign before the end of the world, will reappear in 2270 AD (170C
AH), just 10 years before the end. Note that Gog and Magog occur in Suras 18 and 21,
precisely 17 verses before the end of each sura, representing 17 lunar centuries (72:27).",322,303,"[39.25, 612.348, 479.315, 664.298]","[0.075787, 0.85679, 0.925497, 0.929478]","One of my duties as God's Messenger of the Covenant is to state that Gog and Magog, the final sign before the end of the world, will reappear in 2270 AD (1700 AH), just 10 years before the end. Note that Gog and Magog occur in Suras 18 and 21, precisely 17 verses before the end of each sura, representing 17 lunar centuries (see 72:27 and Appendix 25).",False
*,19:1,19,"This is the maximum number of Quranic Initials, because this sura deals with such crucial matters as the miraculous birth of John and the virgin birth of Jesus, and strongly condemns the blasphemy of Jesus’ sonship to God. The 5-lettered initials provide powerful physical evidence to support these issues (See Appendices 1 & 22).","This is the maximum number of Quranic Initials, because this sura deals with
such crucial matters as the miraculous birth of John and the virgin birth of Jesus, and
strongly condemns the blasphemy of Jesus’ sonship to God. The 5-lettered initials pro
vide powerful physical evidence to support these issues (See Appendices 1 & 22).",324,305,"[39.25, 613.548, 480.532, 660.618]","[0.075787, 0.858469, 0.927847, 0.924329]","This is the maximum number of Quranic Initials, because this sura deals with such crucial matters as the miraculous birth of John and the virgin birth of Jesus, and strongly condemns the gross blasphemy that considers Jesus to be a son of God. The five initials provide a powerful physical evidence to support these issues (See Appendices 1 & 22).",False
*,19:25,19,"Thus, Jesus was born in late September or early October. This is when dates ripen in the Middle East to the point of falling off the tree.","Thus, Jesus was born in late September or early October. This is when dates
ripen in the Middle East to the point of falling off the tree.",325,306,"[40.699, 631.748, 477.579, 656.597]","[0.078585, 0.883935, 0.922145, 0.918703]","Thus, Jesus was born in late September or early October. This is when dates ripen in the Middle East to the point of falling off the tree.",True
*,19:36,19,This is similar to the statement attributed to Jesus in the Gospel of John 20:17.,This is similar to the statement attributed to Jesus in the Gospel of John 20:17.,326,307,"[39.0, 650.748, 478.408, 660.597]","[0.075304, 0.910519, 0.923746, 0.9243]",This is similar to the statement attributed to Jesus in the Gospel of John 20:17.,True
*,19:71,19,"As detailed in Appendix 11, we will be resurrected before God comes to our universe. That will be a temporary taste of Hell for the righteous, since the absence of God is Hell. When God comes (89:22), the righteous will be rescued. See 19:72.","As detailed in Appendix 11, we will be resurrected before God comes to our
universe. That will be a temporary taste of Hell for the righteous, since the absence of
God is Hell. When God comes (89:22), the righteous will be rescued. See 19:72.",329,310,"[41.15, 620.848, 477.744, 659.148]","[0.079455, 0.868683, 0.922464, 0.922272]","As detailed in Appendix 11, we will be resurrected prior to God's physical arrival to our universe. That will be a temporary taste of Hell, since the absence of God is Hell. When God comes (89:22), the righteous will be rescued. See 19:72.",False
*,20:1,20,The role of these Quranic initials as participants in the Quran’s awesome mathematical miracle is given in detail in Appendix 1.,"The role of these Quranic initials as participants in the Quran’s awesome mathe
matical miracle is given in detail in Appendix 1.",331,312,"[40.2, 640.548, 477.596, 661.996]","[0.077621, 0.896247, 0.922178, 0.926257]",The role of these Quranic initials as components of the Quran's awesome mathematical miracle is given in detail in Appendix 1.,False
*,20:15,20,"The end of the world is given in the Quran, for it is God’s final message (15:87).","The end of the world is given in the Quran, for it is God’s final message (15:87).",332,313,"[40.7, 644.248, 477.612, 654.1]","[0.078587, 0.901424, 0.922209, 0.915209]","The end of the world is given in the Quran, God's final message (15:87).",False
*,20:54,20,"Those who possess intelligence appreciate the fact that we are astronauts who were launched into space on this ‘Spaceship Earth.’ God provided us with renewable food, water, pets, wildlife, and livestock, as we embark on this temporary space odyssey. Compare God’s ‘Spaceship Earth’ with our spaceships and astronauts (Appendix 7).","Those who possess intelligence appreciate the fact that we are astronauts who
were launched into space on this ‘Spaceship Earth.’ God provided us with renewable
food, water, pets, wildlife, and livestock, as we embark on this temporary space odyssey.
Compare God’s ‘Spaceship Earth’ with our spaceships and astronauts (Appendix 7).",334,315,"[40.45, 604.748, 480.95, 656.246]","[0.078104, 0.846156, 0.928654, 0.918212]","Those who possess intelligence appreciate the fact that we are astronauts who were launched into space on this 'Spaceship Earth.' God provided us with renewable food, water, pets, wildlife, and livestock, as we embark on this temporary space odyssey. Compare God's provisions to 'Spaceship Earth' with the provisions we give to our astronauts (Appendix 7).",False
*,20:88,20,"& 96 The Samarian went to the spot where God spoke to Moses, and grabbed a fistful of dust upon which God’s voice had echoed. This dust, when mixed with the molten gold caused the golden statue to acquire the sound of a calf.","& 96 The Samarian went to the spot where God spoke to Moses, and grabbed a
fistful of dust upon which God’s voice had echoed. This dust, when mixed with the
molten gold caused the golden statue to acquire the sound of a calf.",337,318,"[40.89, 625.398, 479.49, 658.636]","[0.078953, 0.87505, 0.925835, 0.921556]","& 96 The Samarian went to the spot where God spoke to Moses, and grabbed a fistful of dust upon which God's voice had echoed. This dust, when mixed with the molten gold caused the golden statue to acquire the sound of a calf.",False
*,20:115,20,"When Satan challenged God’s absolute authority (38:69), you and I did not make a firm stand against Satan. God is giving us a chance, on this earth, to redeem ourselves by denouncing Satan and upholding God’s absolute authority (Appendix 7).","When Satan challenged God’s absolute authority (38:69), you and I did not
make a firm stand against Satan. God is giving us a chance, on this earth, to redeem
ourselves by denouncing Satan and upholding God’s absolute authority (Appendix 7).",339,320,"[41.15, 631.548, 477.754, 669.798]","[0.079455, 0.883655, 0.922483, 0.937174]","When Satan challenged God's absolute authority (38:69), you and I did not make a firm stand against Satan. God is giving us a chance, on this earth, to redeem ourselves by denouncing Satan and upholding God's absolute authority (Appendix 7).",False
*,21:3,21,"Although both the Bible (Malachi 3:3) and the Quran (3:81) clearly prophesy the advent of God’s Messenger of the Covenant, when he did appear, supported with ‘one of the greatest miracles’ (74:30-35), he was met with heedlessness and opposition. The divine assertion that every ‘new’ revelation is opposed has been proven by the fierce opposition to the Quran’s great miracle, (see Appendices 1 & 2).","Although both the Bible (Malachi 3:3) and the Quran (3:81) clearly prophesy the
advent of God’s Messenger of the Covenant, when he did appear, supported with ‘one
of the greatest miracles’ (74:30-35), he was met with heedlessness and opposition. The
divine assertion that every ‘new’ revelation is opposed has been proven by the fierce
opposition to the Quran’s great miracle, (see Appendices 1 & 2).",341,322,"[41.899, 604.298, 480.499, 669.096]","[0.080902, 0.845527, 0.927783, 0.936191]","Although the Bible (Malachi 3:1) and the Quran (3:81) prophesy the advent of God's Messenger of the Covenant, when he did appear, supported by 'one of the greatest miracles' (74:30-35), he was met with heedlessness and opposition. The divine assertion that every 'new' proof is opposed has been proven by the Arabs' opposition to the Quran's miracle. (App. 1 & 2).",False
*,21:28,21,The myth of intercession is Satan’s most effective bait (see Appendix 8).,The myth of intercession is Satan’s most effective bait (see Appendix 8).,343,324,"[42.6, 618.198, 477.587, 630.965]","[0.082255, 0.864976, 0.922161, 0.882839]",The myth of intercession is Satan's most effective bait (see Appendix 8).,False
*,21:30,21,"The Big Bang Theory is now supported by the Creator’s infallible mathematical code (Appendix 1). Thus, it is no longer a theory; it is a proven fact.","The Big Bang Theory is now supported by the Creator’s infallible mathematical
code (Appendix 1). Thus, it is no longer a theory; it is a proven fact.",343,324,"[42.6, 630.965, 477.587, 656.498]","[0.082255, 0.882839, 0.922161, 0.918564]","The Big Bang Theory is now supported by the Creator's infallible mathematical code (Appendix 1). Thus, it is no longer a theory; it is a law, a proven fact.",False
*,21:51,21,"Was Abraham so smart as to discover God, or, did God grant him the intelligence because He knew that he deserved to be saved? As it turns out, this whole world was created to redeem those among us who deserve redemption. When the angels suggested to throw us all in Hell, God told them, ‘I know what you do not know’ (2:30). At the same time, this world proves Satan’s incompetence as a god (App. 7).","Was Abraham so smart as to discover God, or, did God grant him the intel
ligence because He knew that he deserved to be saved? As it turns out, this whole
world was created to redeem those among us who deserve redemption. When the an
gels suggested to throw us all in Hell, God told them, ‘I know what you do not know’
(2:30). At the same time, this world proves Satan’s incompetence as a god (App. 7).",345,326,"[40.9, 598.298, 480.95, 657.48]","[0.078973, 0.837132, 0.928654, 0.919938]","Was Abraham so smart as to discover God, or, did God grant him the intelligence because He knew that he deserved to be saved? As it turns out, this whole world was created to redeem those among us who deserve redemption. When the angels suggested that all the rebels, humans and jinns, must be banished out of God's kingdom, 'I know what you do not know' (2:30). At the same time, this world proves Satan's incompetence as a god (App. 7).",False
*,21:73,21,"When the Quran was revealed, all religious duties were already established through Abraham (2:128, 16:123, 22:78).","When the Quran was revealed, all religious duties were already established
through Abraham (2:128, 16:123, 22:78).",347,328,"[41.15, 644.148, 477.944, 665.65]","[0.079455, 0.901284, 0.92285, 0.93137]","When the Quran was revealed, all religious duties were already established through Abraham (2:128, 16:123, 22:78).",True
*,21:90,21,"The use of the plural tense throughout Quran indicates participation of the angels. For example, it is clear from 3:39 and from the Bible that the angels dealt with Zachariah extensively, as they gave him the good news about John. See Appendix 10.","The use of the plural tense throughout Quran indicates participation of the
angels. For example, it is clear from 3:39 and from the Bible that the angels dealt with
Zachariah extensively, as they gave him the good news about John. See Appendix 10.",348,329,"[39.5, 629.348, 478.076, 667.647]","[0.07627, 0.880576, 0.923105, 0.934164]","The use of the plural tense throughout the Quran indicates participation of the angels. It is clear from 3:39 and from the Bible that the angels dealt with Zachariah extensively, as they gave him the good news about John. See Appendix 10.",False
*,21:96,21,"By the year 2270 AD, thanks to God’s mathematical miracle in the Quran (Appendix 1), America will be the heart of Islam, and billions around the globe will have believed in the Quran (9:33, 41:53, 48:28, 61:9). Gog and Magog, will be the only bastions of heathenism, and they will attack the Muslims. That is when the world will end (15:87, 18:94, Appendix 25). God has not yet revealed the identity of Gog and Magog.","By the year 2270 AD, thanks to God’s mathematical miracle in the Quran (Ap
pendix 1), America will be the heart of Islam, and billions around the globe will have
believed in the Quran (9:33, 41:53, 48:28, 61:9). Gog and Magog, will be the only bas
tions of heathenism, and they will attack the Muslims. That is when the world will end
(15:87, 18:94, Appendix 25). God has not yet revealed the identity of Gog and Magog.",349,330,"[41.399, 596.598, 479.593, 655.459]","[0.079936, 0.834753, 0.926034, 0.917111]","By the year 2270 AD, thanks to God's mathematical miracle in the Quran (Appendix 1), America will be the heart of Submission, and billions around the globe will have believed in the Quran (9:33, 41:53, 48:28, 61:9). Gog and Magog (allegorical names of villainous communities), will be the only bastions of heathenism, and they will attack the submitters. That is when the world will end (15:87, 18:94, Appendix 25). Gog and Magog are mentioned in 18:94 & 21:96, 17 verses before the end of each sura; this may indicate the time of their appearance.",False
*,22:5,22,"The Quran’s mathematical miracle is based on the number 19. As it turns out, this number represents the Creator’s signature on His creations. Thus, you and I have 209 bones in our bodies (209=19x11). The length of pregnancy for a full term fetus is 266 days (19x14) (Langman’s Medical Embryology, T. W. Sadler, Page 88, 1985). The Jewish Calendar must be adjusted once every 19years, because the sun, the moon, and the earth line up in the same relative position once every 19 years.","The Quran’s mathematical miracle is based on the number 19. As it turns out,
this number represents the Creator’s signature on His creations. Thus, you and I have
209 bones in our bodies (209=19x11). The length of pregnancy for a full term fetus is
266 days (19x14) (Langman’s Medical Embryology, T. W. Sadler, Page 88, 1985). The
Jewish Calendar must be adjusted once every 19years, because the sun, the moon, and
the earth line up in the same relative position once every 19 years.",351,332,"[41.14, 582.698, 477.466, 660.546]","[0.079436, 0.815304, 0.921927, 0.924228]","The Quran's mathematical miracle is based on the number 19. As it turns out, this number represents the Creator's signature on His creations. Thus, you and I have 209 bones in our bodies (209=19x11). The length of pregnancy for a full term fetus is 266 days (19x14) (Langman's Medical Embryology, T. W. Sadler, Page 88, 1985).",False
*,22:19-22,22,"People who have insisted on going to Hell will inevitably complain: ‘Had we known how bad this is, we would have behaved differently. ’ They will be told that the horrors of Hell have been pointed out to them in the most graphic, though symbolic, terms. It should be noted that Heaven and Hell are almost invariably mentioned together in the Quran.","People who have insisted on going to Hell will inevitably complain: ‘Had we
known how bad this is, we would have behaved differently. ’ They will be told that the
horrors of Hell have been pointed out to them in the most graphic, though symbolic,
terms. It should be noted that Heaven and Hell are almost invariably mentioned
together in the Quran.",353,334,"[41.399, 601.998, 480.959, 666.695]","[0.079936, 0.842309, 0.928672, 0.932832]","People who have insisted upon going to Hell will inevitably complain: 'Had we known how bad this is, we would have behaved differently.' They will be told that the horrors of Hell have been pointed out to them in the most graphic, though symbolic, terms. It should be noted that Heaven and Hell are almost invariably mentioned together in the Quran.",False
